sprint_id,sprint_name,state,start_date,end_date,complete_date,activated_date
6851.0,December Sprint,closed,2017-12-01T06:08:48.751Z,2017-12-22T06:08:00.000Z,2018-01-02T12:50:16.314Z,2017-12-01T06:08:48.751Z
6725.0,November Sprint-1,closed,2017-11-02T12:16:15.326Z,2017-11-15T13:16:00.000Z,2017-11-30T09:26:35.526Z,2017-11-02T12:16:15.326Z
8166.0,2019 Week 11-13,closed,2019-03-11T04:01:55.289Z,2019-04-01T04:01:00.000Z,2019-04-01T11:06:41.034Z,2019-03-11T04:01:55.289Z
8514.0,2019 Week 14-16,closed,2019-04-01T04:01:53.439Z,2019-04-22T04:01:00.000Z,2019-04-23T11:13:04.061Z,2019-04-01T04:01:53.439Z
8516.0,2019 Week 17-19,closed,2019-04-22T04:01:29.793Z,2019-05-13T04:01:00.000Z,2019-05-13T12:51:36.157Z,2019-04-22T04:01:29.793Z
8518.0,2019 Week 20-22,closed,2019-05-13T04:01:09.459Z,2019-06-03T04:01:00.000Z,2019-06-03T10:33:24.393Z,2019-05-13T04:01:09.459Z
8520.0,2019 Week 23-25,closed,2019-06-03T04:01:30.734Z,2019-06-24T04:01:00.000Z,2019-06-24T10:40:59.743Z,2019-06-03T04:01:30.734Z
8932.0,2019 Week 26-28,closed,2019-06-24T04:01:51.200Z,2019-07-15T04:01:00.000Z,2019-07-15T10:19:13.335Z,2019-06-24T04:01:51.200Z
8934.0,2019 Week 29-31,closed,2019-07-15T04:01:45.641Z,2019-08-05T04:01:00.000Z,2019-08-05T10:08:16.574Z,2019-07-15T04:01:45.641Z
8936.0,2019 Week 32-34,closed,2019-08-05T04:01:31.421Z,2019-08-26T04:01:00.000Z,2019-08-26T10:49:37.712Z,2019-08-05T04:01:31.421Z
8938.0,2019 Week 35-37,closed,2019-08-26T04:01:31.017Z,2019-09-16T04:01:00.000Z,2019-09-16T10:51:33.418Z,2019-08-26T04:01:31.017Z
9122.0,2019 Week 38-40 (from Sep 16),closed,2019-09-16T04:01:19.980Z,2019-10-07T04:01:00.000Z,2019-10-07T10:15:12.105Z,2019-09-16T04:01:19.980Z
9124.0,2019 Week 41-43 (from Okt 7),closed,2019-10-09T04:01:52.490Z,2019-10-27T04:01:00.000Z,2019-10-28T10:56:12.670Z,2019-10-09T04:01:52.490Z
9126.0,2019 Week 44-46 (from Okt 28),closed,2019-10-30T04:01:49.731Z,2019-11-18T04:59:00.000Z,2019-11-18T10:53:00.308Z,2019-10-30T04:01:49.731Z
9128.0,2019 Week 47-49 (from Nov 18),closed,2019-11-20T05:01:53.521Z,2019-12-09T04:59:00.000Z,2019-12-09T12:15:54.310Z,2019-11-20T05:01:53.521Z
9356.0,2019 Week 50-52 (from Dec 9),closed,2019-12-11T05:01:23.684Z,2019-12-30T04:59:00.000Z,2019-12-30T10:52:58.820Z,2019-12-11T05:01:23.684Z
9358.0,2020 Week 01-03 (from Dec 30),closed,2020-01-01T05:01:13.771Z,2020-01-20T04:59:00.000Z,2020-01-20T16:01:47.507Z,2020-01-01T05:01:13.771Z
